ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677336.12808900: control=23037 audio=1585 late=0 nonSeq=0
677337.13322600: control=23597 audio=1207 late=0 nonSeq=0
677338.12359400: control=23660 audio=1189 late=0 nonSeq=0
677339.3822200: control=23427 audio=1179 late=0 nonSeq=0
677340.14832800: control=23673 audio=1807 late=0 nonSeq=0
677341.15331200: control=23472 audio=1115 late=0 nonSeq=0
677342.15826100: control=23594 audio=1205 late=0 nonSeq=0
677343.9864000: control=24681 audio=1171 late=0 nonSeq=0
677344.4836600: control=23344 audio=1612 late=0 nonSeq=0
677345.11386300: control=23820 audio=1632 late=0 nonSeq=0
677346.6366000: control=23939 audio=1103 late=0 nonSeq=0
677347.16359000: control=20914 audio=1802 late=0 nonSeq=0
677348.8893400: control=23422 audio=1219 late=0 nonSeq=0
677349.13400800: control=23993 audio=1013 late=0 nonSeq=0
677350.17913500: control=24722 audio=1187 late=0 nonSeq=0
677351.2366500: control=23503 audio=1155 late=0 nonSeq=0
677352.1340200: control=23534 audio=1232 late=0 nonSeq=0
677353.6868800: control=23677 audio=1399 late=0 nonSeq=0
677354.17975400: control=23663 audio=936 late=0 nonSeq=0
677355.5394600: control=23605 audio=1242 late=0 nonSeq=0
677356.8358700: control=24554 audio=1167 late=0 nonSeq=0
677357.11908500: control=24477 audio=1321 late=0 nonSeq=0
677358.18314800: control=30683 audio=1808 late=0 nonSeq=0
677359.881400: control=20784 audio=1269 late=0 nonSeq=0
677360.1828400: control=23967 audio=1246 late=0 nonSeq=0
677361.9312500: control=23533 audio=1354 late=0 nonSeq=0
677362.15815400: control=23691 audio=1198 late=0 nonSeq=0
677363.9858100: control=23532 audio=1371 late=0 nonSeq=0
677364.2417400: control=24194 audio=1176 late=0 nonSeq=0
677365.2373500: control=23414 audio=980 late=0 nonSeq=0
677366.5891700: control=23693 audio=1380 late=0 nonSeq=0
677367.6359700: control=23271 audio=1251 late=0 nonSeq=0
677368.6354500: control=23502 audio=1519 late=0 nonSeq=0
677369.5825600: control=23448 audio=2041 late=0 nonSeq=0
677370.15363700: control=23645 audio=1271 late=0 nonSeq=0
677371.20373200: control=23452 audio=1440 late=0 nonSeq=0
677372.12317200: control=23780 audio=1133 late=0 nonSeq=0
677373.11321800: control=24332 audio=1375 late=0 nonSeq=0
677374.5320100: control=24029 audio=1201 late=0 nonSeq=0
677375.5402700: control=23839 audio=1092 late=0 nonSeq=0
677376.16364200: control=24192 audio=1183 late=0 nonSeq=0
677377.20387000: control=23626 audio=1876 late=0 nonSeq=0
677378.18910000: control=24933 audio=1363 late=0 nonSeq=0
677379.14334400: control=24309 audio=960 late=0 nonSeq=0
677380.13844500: control=23672 audio=943 late=0 nonSeq=0
677381.10316200: control=24021 audio=1342 late=0 nonSeq=0
677382.5887800: control=23979 audio=1020 late=0 nonSeq=0
677383.14336200: control=23558 audio=1500 late=0 nonSeq=0
677384.14500000: control=23914 audio=1389 late=0 nonSeq=0
677385.20333700: control=24265 audio=1157 late=0 nonSeq=0
677386.3930100: control=23611 audio=1592 late=0 nonSeq=0
677387.15979200: control=24454 audio=1690 late=0 nonSeq=0
677388.10336700: control=24116 audio=1262 late=0 nonSeq=0
677389.18838200: control=23801 audio=1518 late=0 nonSeq=0
677390.7884100: control=23403 audio=1333 late=0 nonSeq=0
677391.4370800: control=23603 audio=1418 late=0 nonSeq=0
677392.17366000: control=23511 audio=1527 late=0 nonSeq=0
677393.2377100: control=23453 audio=2036 late=0 nonSeq=0
677394.18827500: control=23703 audio=1360 late=0 nonSeq=0
677395.5372900: control=23978 audio=1223 late=0 nonSeq=0
677396.14815400: control=24056 audio=1539 late=0 nonSeq=0
677397.11309400: control=23771 audio=1382 late=0 nonSeq=0
677398.16043400: control=24158 audio=1391 late=0 nonSeq=0
677399.4340100: control=23472 audio=1025 late=0 nonSeq=0
677400.920100: control=21247 audio=1255 late=0 nonSeq=0
677401.6870900: control=23303 audio=1349 late=0 nonSeq=0
677402.17873400: control=23510 audio=1341 late=0 nonSeq=0
677403.1853900: control=29128 audio=1286 late=0 nonSeq=0
677404.19841200: control=23757 audio=1175 late=0 nonSeq=0
677405.18876000: control=23825 audio=2135 late=0 nonSeq=0
677406.2899000: control=20681 audio=1327 late=0 nonSeq=0
677407.2875800: control=23948 audio=1403 late=0 nonSeq=0
677408.17426900: control=23536 audio=1204 late=0 nonSeq=0
677409.2810800: control=20558 audio=1486 late=0 nonSeq=0
677410.18375200: control=21127 audio=1333 late=0 nonSeq=0
677411.20309200: control=24228 audio=1282 late=0 nonSeq=0
677412.17383300: control=23420 audio=1140 late=0 nonSeq=0
677413.18882400: control=23444 audio=1149 late=0 nonSeq=0
677414.1407000: control=23821 audio=1294 late=0 nonSeq=0
677415.10851100: control=23902 audio=1693 late=0 nonSeq=0
677416.16902400: control=25135 audio=1621 late=0 nonSeq=0
677417.15326000: control=24160 audio=1281 late=0 nonSeq=0
677418.4322000: control=23403 audio=1131 late=0 nonSeq=0
677419.7361500: control=23951 audio=1310 late=0 nonSeq=0
677420.5311800: control=23636 audio=1754 late=0 nonSeq=0
677421.3826800: control=24019 audio=1150 late=0 nonSeq=0
677422.2900500: control=23507 audio=1181 late=0 nonSeq=0
677423.4507700: control=23716 audio=1240 late=0 nonSeq=0
677424.17948100: control=23550 audio=957 late=0 nonSeq=0
677425.19880400: control=23718 audio=1557 late=0 nonSeq=0
677426.8381800: control=23666 audio=1250 late=0 nonSeq=0
677427.401500: control=24080 audio=1282 late=0 nonSeq=0
677428.4310500: control=20690 audio=1215 late=0 nonSeq=0
677429.9369400: control=23563 audio=1439 late=0 nonSeq=0
677430.19855800: control=23446 audio=1224 late=0 nonSeq=0
677431.6374300: control=23196 audio=2024 late=0 nonSeq=0
677432.3981100: control=23530 audio=1539 late=0 nonSeq=0
677433.13825200: control=26969 audio=1443 late=0 nonSeq=0
677434.17336700: control=20845 audio=1146 late=0 nonSeq=0
677435.15825600: control=24606 audio=1413 late=0 nonSeq=0
677436.14352500: control=23629 audio=1968 late=0 nonSeq=0
677437.6875200: control=23315 audio=1358 late=0 nonSeq=0
677438.17361600: control=23808 audio=1444 late=0 nonSeq=0
677439.2361300: control=23418 audio=1267 late=0 nonSeq=0
677440.15922100: control=23883 audio=1252 late=0 nonSeq=0
677441.18062700: control=23805 audio=1429 late=0 nonSeq=0
677442.12399600: control=23669 audio=1188 late=0 nonSeq=0
677443.1832700: control=24871 audio=1359 late=0 nonSeq=0
677444.6363600: control=23851 audio=1390 late=0 nonSeq=0
677445.19391700: control=23902 audio=1679 late=0 nonSeq=0
677446.14335100: control=23427 audio=1520 late=0 nonSeq=0
677447.1313900: control=23762 audio=1071 late=0 nonSeq=0
677448.10348600: control=23948 audio=1240 late=0 nonSeq=0
677449.11388800: control=23838 audio=1284 late=0 nonSeq=0
677450.13348100: control=23538 audio=1550 late=0 nonSeq=0
677451.6829000: control=21010 audio=1534 late=0 nonSeq=0
677452.9872300: control=23403 audio=1725 late=0 nonSeq=0
677453.15481200: control=24161 audio=1161 late=0 nonSeq=0
677454.10321800: control=20930 audio=1005 late=0 nonSeq=0
677455.15813800: control=23563 audio=1101 late=0 nonSeq=0
677456.19348300: control=24514 audio=1235 late=0 nonSeq=0
677457.16367900: control=23028 audio=1533 late=0 nonSeq=0
677458.2327500: control=23778 audio=1272 late=0 nonSeq=0
677459.876700: control=23721 audio=1868 late=0 nonSeq=0
677460.18045200: control=24023 audio=1327 late=0 nonSeq=0
677461.13383000: control=23929 audio=1436 late=0 nonSeq=0
677462.11592500: control=23887 audio=1211 late=0 nonSeq=0
677463.14827200: control=23566 audio=1369 late=0 nonSeq=0
677464.326300: control=23995 audio=1176 late=0 nonSeq=0
677465.20838500: control=23782 audio=1349 late=0 nonSeq=0
677466.1359600: control=23593 audio=1659 late=0 nonSeq=0
677467.15876600: control=24335 audio=1158 late=0 nonSeq=0
677468.17338900: control=24295 audio=1737 late=0 nonSeq=0
677469.19873300: control=23891 audio=1655 late=0 nonSeq=0
677470.4355400: control=23510 audio=1127 late=0 nonSeq=0
677471.5361000: control=23657 audio=1135 late=0 nonSeq=0
677472.6920300: control=23548 audio=1244 late=0 nonSeq=0
677473.2367400: control=23664 audio=1469 late=0 nonSeq=0
677474.9824800: control=23855 audio=1725 late=0 nonSeq=0
